price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
39.0,2,42.31676,-71.08,Private room,91,365,5.0,none,Roxbury,31,2.0,Parking Renovated Close to Downtown,0,f,0,0.0,0
275.0,229,42.33211,-71.09842,Entire home/apt,3,87,4.89,STR-446658,Mission Hill,5,3.0,*Fort Hill Inn: Penthouse Duplex* Close to Center,41,t,246,67650.0,1
162.0,132,42.3285,-71.09608,Entire home/apt,3,81,4.8,STR-446656,Roxbury,5,0.0,"Fresh! City Loft Apartment,  Minutes to Center!",3,t,18,2916.0,1
302.0,214,42.34628,-71.08064,Entire home/apt,29,202,4.93,STR-400453,Back Bay,1,2.0,Private Entrance * King Beds * Parking * Kid Ready,2,t,116,35032.0,1
90.0,156,42.34441,-71.07633,Entire home/apt,1,191,4.53,STR-441252,South End,87,0.0,"Heart of South End, Convenient, Comfy Studio #42",3,f,18,1620.0,1
625.0,34,42.38118,-71.06073,Entire home/apt,3,38,4.97,STR-526971,Charlestown,1,4.0,Boston at your doorstep!,3,f,18,11250.0,1
100.0,9,42.33509,-71.07847,Private room,91,364,4.89,none,Roxbury,3,1.0,Share South End Multi-level Loft/ with parking,0,f,0,0.0,0
139.0,165,42.34447,-71.07644,Entire home/apt,1,330,4.47,STR-589708,South End,87,0.0,"Near Fenway Park, South End, and Newbury St #4",15,f,90,12510.0,1
93.0,316,42.34447,-71.07644,Entire home/apt,1,218,4.55,STR-589704,South End,87,0.0,"Stay Close to Fenway, Tufts Medical Center & More",7,f,42,3906.0,1
225.0,102,42.33286,-71.04506,Entire home/apt,3,324,4.87,STR-398153,South Boston,1,0.0,City sanctuary - garden terrace - ocean view,17,t,102,22950.0,1
330.0,304,42.36726,-71.05424,Entire home/apt,3,54,4.98,STR-388064,North End,1,2.0,"""La Gemma"" - a gem in the North End",18,t,108,35640.0,1
82.0,389,42.3605,-71.12633,Private room,3,179,4.9,STR-383892,Allston,8,1.0,The Nantucket Room near Harvard Square,37,t,222,18204.0,1
81.0,116,42.28516,-71.13772,Private room,30,74,4.95,STR-396424,Roslindale,2,1.0,"2 rms, private bath, females or grandparents only",4,t,240,19440.0,1
512.0,14,42.35009,-71.07023,Entire home/apt,91,177,5.0,none,Back Bay,1,3.0,Great location! 3 BD single fam. Kid-friendly.,0,f,0,0.0,0
64.0,205,42.33034,-71.05802,Private room,5,149,4.44,STR-524662,South Boston,3,1.0,"Large room, wood floor, 2 windows, 27 Dexter",11,f,110,7040.0,1
74.0,180,42.3605,-71.12633,Private room,60,270,4.82,none,Allston,8,1.0,The Meditation Room near Harvard Square,3,t,255,18870.0,0
198.0,33,42.32431720644971,-71.0586656980579,Entire home/apt,2,10,4.97,STR-455594,Dorchester,1,1.0,Close to it all-private parking & red MBTA station,14,t,84,16632.0,1
152.0,150,42.32966,-71.09597,Entire home/apt,3,89,4.7,STR-446654,Roxbury,5,0.0,Fort Hill Inn- Cozy Studio ApT 1.5 miles to Center,18,t,108,16416.0,1
150.0,29,42.2619,-71.11315,Entire home/apt,29,295,4.66,none,Hyde Park,1,3.0,Hidden Gem in Boston: Long Term 1 Month + Only,4,t,232,34800.0,0
92.0,57,42.35262,-71.07899,Entire home/apt,91,270,4.81,none,Back Bay,1,0.0,Small studio in GREAT location,0,f,0,0.0,0
117.0,385,42.31583,-71.11448,Private room,2,41,4.98,STR-411564,Jamaica Plain,1,1.0,Pvt tree top suite in great location,42,t,252,29484.0,1
53.0,109,42.28951,-71.15657,Private room,3,24,4.82,STR-397953,West Roxbury,1,1.0,"Free parking, 1 private room, 1 queen Bed",1,f,6,318.0,1
314.0,42,42.31584,-71.09932,Entire home/apt,29,169,4.6,STR-416102,Jamaica Plain,1,5.0,"Family friendly Victorian home, walk to T",1,f,58,18212.0,1
142.0,103,42.32932,-71.08925,Entire home/apt,3,297,4.8,STR-546631,Roxbury,1,1.0,Urban Oasis / Apartment perfect for work & create,14,t,84,11928.0,1
43.0,17,42.28411,-71.11693,Private room,29,362,4.53,none,Roslindale,3,1.0,Cozy private room near bus stop,2,f,116,4988.0,0
218.0,40,42.34118,-71.14678,Entire home/apt,29,274,4.43,Exempt: This listing is a unit used for furnished institutional or business stays,Brighton,39,1.0,"Cozy 1B, Green Line, Boston Coll, Elev, Roof Deck",2,f,116,25288.0,1
91.0,260,42.34441,-71.07633,Entire home/apt,1,201,4.59,STR-441260,South End,87,1.0,"Stylish Downtown Studio in the SouthEnd, C.Ave# 45",8,f,48,4368.0,1
135.0,177,42.34441,-71.07633,Entire home/apt,1,301,4.5,LB-101763,South End,87,0.0,"Stylish Downtown Studio in the SouthEnd, C.Ave# 43",24,f,144,19440.0,1
