price,number_of_reviews,latitude,longitude,room_type,minimum_nights,availability_365,review_scores_rating,license,neighbourhood_cleansed,calculated_host_listings_count,bedrooms,name,number_of_reviews_ltm,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d,has_license
39.0,7,42.31676,-71.08,Private room,91,365,4.86,none,Roxbury,31,1.0,Parking EZ 2 Downtown/Longwood Larg,0,f,0,0.0,0
39.0,1,42.31676,-71.08,Private room,91,365,4.0,none,Roxbury,31,2.0,Parking Renovated Close to Downtown,0,f,0,0.0,0
432.0,17,42.3645578,-71.0692521,Entire home/apt,30,179,4.71,STR-595465,West End,8,2.0,2 Bd/Bth Apt in Prime Location Gorgeous Water View,0,t,0,0.0,1
231.0,455,42.378693,-71.035088,Entire home/apt,1,341,4.86,STR-398048,East Boston,3,2.0,Boston Rooftop Retreat-Airport & Train,52,t,255,58905.0,1
161.0,180,42.34441,-71.07633,Entire home/apt,1,324,4.64,STR-441249,South End,86,0.0,South End Studio Perfect for Work Travel #46,18,f,108,17388.0,1
39.0,4,42.31676,-71.08,Private room,91,365,4.5,none,Roxbury,31,2.0,Parking Easy to downtown/Longwood,0,f,0,0.0,0
60.0,21,42.34341,-71.15451,Entire home/apt,91,290,5.0,none,Brighton,3,1.0,Charming studio,2,t,255,15300.0,0
326.0,221,42.34765,-71.15509,Entire home/apt,3,290,4.89,STR-470547,Brighton,1,5.0,Historic House modernized,21,t,126,41076.0,1
211.0,114,42.2563,-71.12762,Entire home/apt,2,245,4.6,STR-544913,Hyde Park,1,2.0,Charming Victorian Furnished Home,3,f,18,3798.0,1
58.0,29,42.35111,-71.16529,Private room,91,214,4.79,none,Brighton,1,1.0,Cosy Celtic Retreat,1,f,182,10556.0,0
94.0,443,42.32352198858505,-71.10688328334862,Entire home/apt,4,285,4.67,STR-545228,Jamaica Plain,1,0.0,Studio w/ private entrance and bathroom,16,f,128,12032.0,1
59.0,41,42.31124,-71.06551,Private room,29,299,4.85,STR-415034,Dorchester,1,5.0,3rd floor room in Victorian House,0,f,0,0.0,1
70.0,37,42.31327,-71.10811,Private room,30,333,4.68,STR-416301,Jamaica Plain,2,1.0,Quiet room - Great location!,2,f,120,8400.0,1
71.0,204,42.33034,-71.05802,Private room,5,62,4.61,STR-524662,South Boston,4,1.0,"Large room with view on Downtown, 27 Dexter Street",9,f,90,6390.0,1
570.0,100,42.34041,-71.08384,Entire home/apt,29,309,4.98,Exempt: This listing is a unit used for furnished institutional or business stays,Roxbury,3,2.0,Stunning SouthEnd/BackBay Penthouse,0,t,0,0.0,1
247.0,502,42.30542,-71.10409,Entire home/apt,2,272,4.93,STR-446628,Jamaica Plain,1,2.0,2 Bdrm Apt w/ tower in JP Victorian,53,t,255,62985.0,1
950.0,44,42.34024,-71.07483,Entire home/apt,5,29,5.0,STR-470244,South End,1,3.0,Beautiful Townhouse Boston's South End,13,t,130,123500.0,1
39.0,6,42.31681,-71.08001,Private room,91,365,5.0,none,Roxbury,31,1.0,"Renovated, Quiet, Free Parking",0,f,0,0.0,0
62.0,87,42.38704,-71.00581,Entire home/apt,65,67,4.49,none,East Boston,2,1.0,Studio Condo by Airport and T Station,2,t,255,15810.0,0
126.0,268,42.31163,-71.06351,Entire home/apt,29,219,4.81,none,Dorchester,6,3.0,Beautiful 3 bedroom Dorchester MA,3,t,174,21924.0,0
155.0,25,42.28629,-71.13839,Entire home/apt,29,329,4.64,STR-445527,Roslindale,2,2.0,Quiet  Beauty in Boston,0,f,0,0.0,1
39.0,2,42.31676,-71.08,Private room,91,365,5.0,none,Roxbury,31,2.0,Parking Renovated Close to Downtown,0,f,0,0.0,0
336.0,240,42.33211,-71.09842,Entire home/apt,3,50,4.89,STR-446658,Mission Hill,5,3.0,*Fort Hill Inn: Penthouse Duplex* Close to Center,38,t,228,76608.0,1
162.0,132,42.3285,-71.09608,Entire home/apt,3,33,4.8,STR-446656,Roxbury,5,0.0,"Fresh! City Loft Apartment,  Minutes to Center!",2,t,12,1944.0,1
250.0,215,42.34628,-71.08064,Entire home/apt,29,176,4.93,STR-400453,Back Bay,1,2.0,Private Entrance * King Beds * Parking * Kid Ready,2,t,116,29000.0,1
625.0,35,42.38118,-71.06073,Entire home/apt,3,115,4.97,STR-526971,Charlestown,1,4.0,Boston at your doorstep!,1,f,6,3750.0,1
100.0,9,42.33509,-71.07847,Private room,91,365,4.89,none,Roxbury,2,1.0,Share South End Multi-level Loft/ with parking,0,f,0,0.0,0
184.0,179,42.34447,-71.07644,Entire home/apt,1,316,4.51,STR-589708,South End,86,0.0,"Near Fenway Park, South End, and Newbury St #4",29,f,174,32016.0,1
123.0,326,42.34447,-71.07644,Entire home/apt,1,227,4.55,STR-589704,South End,86,0.0,"Stay Close to Fenway, Tufts Medical Center & More",17,f,102,12546.0,1
277.0,105,42.33286,-71.04506,Entire home/apt,3,335,4.88,STR-398153,South Boston,1,0.0,City sanctuary - garden terrace - ocean view,14,t,84,23268.0,1
330.0,315,42.36726,-71.05424,Entire home/apt,3,61,4.97,STR-388064,North End,1,2.0,"""La Gemma"" - a gem in the North End",16,t,96,31680.0,1
71.0,403,42.3605,-71.12633,Private room,3,204,4.9,STR-383892,Allston,12,1.0,The Nantucket Room near Harvard Square,43,t,255,18105.0,1
81.0,118,42.28516,-71.13772,Private room,30,171,4.95,STR-396424,Roslindale,2,1.0,"2 rms, private bath, females or grandparents only",6,t,255,20655.0,1
512.0,14,42.35009,-71.07023,Entire home/apt,91,177,5.0,none,Back Bay,1,3.0,Great location! 3 BD single fam. Kid-friendly.,0,f,0,0.0,0
74.0,180,42.3605,-71.12633,Private room,60,283,4.82,none,Allston,12,1.0,The Meditation Room near Harvard Square,2,t,240,17760.0,0
267.0,35,42.32431720644971,-71.0586656980579,Entire home/apt,2,19,4.97,STR-455594,Dorchester,1,1.0,Close to it all-private parking & red MBTA station,13,t,78,20826.0,1
177.0,156,42.32966,-71.09597,Entire home/apt,3,65,4.71,STR-446654,Roxbury,5,0.0,Fort Hill Inn- Cozy Studio ApT 1.5 miles to Center,15,t,90,15930.0,1
110.0,29,42.2619,-71.11315,Entire home/apt,29,306,4.66,none,Hyde Park,4,3.0,Hidden Gem in Boston: Long Term 1 Month + Only,2,t,116,12760.0,0
92.0,57,42.35262,-71.07899,Entire home/apt,91,316,4.81,none,Back Bay,1,0.0,Small studio in GREAT location,0,f,0,0.0,0
117.0,400,42.31583,-71.11448,Private room,2,58,4.98,STR-411564,Jamaica Plain,1,1.0,Pvt tree top suite in great location,41,t,246,28782.0,1
263.0,43,42.31584,-71.09932,Entire home/apt,29,266,4.6,STR-416102,Jamaica Plain,1,5.0,"Family friendly Victorian home, walk to T",1,f,58,15254.0,1
472.0,237,42.29828,-71.11048,Entire home/apt,3,307,4.92,STR-445893,Jamaica Plain,1,5.0,Spacious 5BR Condo w/parking near METRO,23,t,138,65136.0,1
64.0,125,42.33034,-71.05802,Private room,5,64,4.58,STR-524662,South Boston,4,1.0,"Large room, excellent access, 27 Dexter Street",7,f,70,4480.0,1
